prompt,completion
"Yes. Yeah, actually, whenever I get together with friends of mine who don't work for newspapers, I realize how much more fun I have than they do. There are a lot more pressures. I have to worry about budgets. I have to worry about the careers of other people. But the reality is I come into the newsroom every morning with about 10 things that I want to get done in terms of coverage. I can influence coverage of everything from how we write about music, to how we write about Supreme Court nominees, to how we cover the most interesting city in America. That's a blast. You can't complain too much about that.","Do you believe--and you talked about this briefly, but I'm curious in terms of how you see the general public and their perception of the media and newspapers. Do you believe that newspapers, television news, etc., now sit in the seat of having to win the confidence of the viewer, the listener, the reader back?"
"To tell you the truth, I started to cry. I was a little disappointed. There's some financial effects, and then there's also just - it's kind of demeaning to be considered basically a second-class citizen. That's how I feel. You know, I pay taxes. I'm a citizen. I'm a grown woman with a partner of 10 years and a 22-month-old child that I've adopted. My partner had the baby. And we're a family with a house, and we're really like a boring couple. And yet, New York state doesn't consider us a family.",You said there were financial repercussions. What were those?
"Right. Which, of course, supposes that these are not objective. The funny thing is that the GOP is assuming - as I said - that this will necessarily favor Hillary Clinton. I don't think the Clintons - they've been silent on this, but speaking to their associates, I don't think they make any such assumption at all. And already these projects have also drawn fire from the left, who fear that it could go quite the other way.",What is the criticism? What is the fear coming from the left about these things?
"To some extent, China is more able than the United States to set ambitious targets for things like renewable energy. But I would say in the last eight to ten years in the United States, there has been a tremendous amount of path-breaking work going on at the state level, particularly in California. And some of the policies that California has put into place, such as its very ambitious solar energy incentives have become the model for China.","You've been working on this issue in China for, what, 15 years?"
There are so many incredible writers out there on Twitter and so many really compelling firsthand accounts of the big news stories this year that it makes for a really interesting way to recap some of those big events.,How in the world did you decide which tweets to preserve in this book?
"You know, that would be a difficult one to impose and to regulate. I think the strength of the lobbying law is that it is so narrowly defined - covering the most important piece of lobbying, which is contacting Congressmen and covered officials.","But are there a lot of people in Washington who would pass the litmus test of, say, not being a lobbyist, but who are, you know, big influential players, who are being compensated to a great extent because they are former powers on Capitol Hill or in the executive branch?"
"I think it is backfiring on President Trump's critics. When you overshoot the mark and you turn the dial to 11 on every single issue, I think the American public starts to tune you out.","I just want to be really careful because you're saying that the public might tune you out - when you say you, you're talking about President Trump's critics like Democrats? Are you talking about the media? Who are you referring to?"
"Thank you, Steve. Nice to be with you.",Can you describe the tone or the attitude of the North Koreans you met with?
"I think, frankly, what I get from a lot of them is that my politics are their politics. I'd be the better candidate and I'd be the better governor. But it's really someone else's turn. And I think the problem with that is that the people who need a change, the ones who can't wait, aren't a part of that conversation. The establishment have all the options and all the influence and connections to protect their interests, frankly, no matter who is in power from whatever party. But everybody else, in my view, is the responsibility of the chief executive, and that's the responsibility I'm looking to assume.","And what of those who are not the powerbrokers? One has to start to lay the seeds, if you will, particularly in one's own community. Are you seeing excitement from the African-American community as a collective in Massachusetts? And, again, as we grow this countrywide, are you hearing and seeing from African-Americans in other states who are excited about this possibility?"
Thank you.,"In your experience, does the breakthrough often come from an eyewitness, from actual forensic evidence on the ground? How do you find out how something like this began?"
"So, it's certainly not a one-man show and if there's one dominant personality, I would say that today it's Omar Suleiman.",And do you think that Suleiman is in control of these pro-Mubarak protesters who have been blamed for violence around Tahrir Square and elsewhere?
"One day, the Brelands were called out to China Lake to the weapons research station out there to do some research with the U.S. Navy's dolphin program, training dolphins to do things like locate submarines or warn of enemy attack, things like that. And this was run by Bob Bailey, who was kind of an animal behaviorist of his own. And he was convinced to come work with the Brelands at the I.Q. Zoo.","So the CIA, they were trying to train animals and they saw, you know, these people could train a pig to vacuum, they must be able to do something. What were some of the animals the CIA wanted to put to work?"
"Basically, the town west from Main Street, you could stand on Main Street and look west and see the next town, which is 10 miles away, which you shouldn't be able to do. Things were leveled. It was debris about four feet deep. There was a picture in the, I think, the New York Times or somewhere that showed on top Hiroshima and on the bottom Greensburg. And it was very similar.",How did you rebuild the town?
"Oh, that's central to it for sure. What we know, of course, is that some of those folks have severe disabilities by virtue of addiction or mental illness or physical or developmental disability. So we've learned they need permanent housing would support services. The old way of attempting to deliver services when a person's on the street or living in a shelter, you can't do it more ineffectively or more expensively than that. And what we're learning is when you provide, actually, stability and a place to live, that housing itself has a therapeutic impact on folk. Those of us who have never been homeless, we take our housing for granted. But for a homeless person, for the first time, they could actually relax. And when a person's relaxed in the setting of stability and security, they're much more amenable to receiving some of those mental health services or addiction services that they might have rejected had they been on the street.","What do you say the big concern that some people have that by concentrating on housing first then the support services, you let people move into housing when they all have kinds of problems that aren't necessarily congenial for the neighbors?"
"You know, I think they were, in many cases. And I reported from Iraq from 2006 through 2008. And, Robert, I dug up some of my old stories, and one was from 2006. And General George Casey, the top commander at the time, predicted that in the next year and a half or so, the Iraqi forces would be independent and need very little help from the Americans. Then I found a story from a year later, 2007, and a major report found it would take another 12 to 18 months. So a competent and independent Iraqi military was always just over the horizon.",Just 18 months away. The U.S. worked with Iraqi troops for seven to eight years. Isn't that enough time to have built a better force than Iraq now has?
"Well, one of the biggest changes is accountability, the way people keep track of where their money went and how it's being used. Also social networking, the way people connect with other people who are giving or the organizations themselves. And also just the physical ways that people are donating. People can donate by texting the word kettle to the Salvation Army, a quick $5 donation via your mobile phone. It doesn't really get any easier than that.",I just want to make sure I understand that. I text the word kettle and the Salvation Army automatically gets $5 from me?
"Well, with respect to polls, my guess is 99 percent of Americans have never even heard of this agency, and I would defy you to find a poll otherwise. To some extent, it's hard to judge precisely what they have done. Again, there are very important laws that need to be enforced. I think in some respects, in certain cases, they have, but in other cases, they've really let us down.","Just so you know the source of what I was saying, that there was a Morning Consult poll about 11 months ago that polled Trump voters actually and found that 56 percent want the CFPB either left alone or actually expanded. And it is one of the few agencies that focuses solely on consumers. I just want to ask you a broad question. I mean, you had President Trump who ran and still campaigns on being a champion of working Americans. Now, this agency that was set up to protect consumers from abuse is under attack. And you also have a Republican tax cut plan that gives the most relief to wealthy people. I just wonder - is all of this keeping the promise that President Trump made in the election?"
Correct. Discovered that we had it.,And when did you have the surgery?
"I think there is a small connection. It's not the major reason that rates are going up, but I suspect that chairman Greenspan wants to make sure that inflation is well-controlled on the day he walks out of office, both to protect his own legacy and to make life a little easier for his successor, whoever that may be.",Who might that be?
"I think it will be. It'll be very disorienting, at first, because - you know, people are used to turning on their computers and seeing a certain something. And in the case of Windows, that certain something for 20 years has been a desktop environment. Now, suddenly, that desktop environment isn't there anymore. There aren't the icons, the folders; the things that we're all used to, in Windows. There are these colorful tiles. And they have to know how to get from those files to the desktop, where they can do their productive work.","How easy will it be for current Windows users, to upgrade to this new Windows 8?"
"Well, a lot of things have happened in the interim. Two of the prosecutors who were assigned to the case became judges during this period, believe it or not. That's how long it's been, and they had to reconfigure the prosecution team. Phil Spector has had three different sets of lawyers, and now he has Bruce Cutler. And Bruce Cutler was the lawyer in New York who represented John Gotti; he's kind of known as a mob lawyer, a very enthusiastic, very flamboyant lawyer in the courtroom. He'll be something else to watch when you're watching on television.","Well, speaking of flamboyant, in the run-up to this trial, Linda, I have seen some - I can only say amazing photos of Phil Spector's get-ups, his wigs and - I mean can you just try to describe his fashion sense for us? And do you think that's going to make this trial like a viewing sensation?"
That's right.,Why did you want to highlight--and I think I know the answer to this--but why did you decide to highlight Detroit?
"It's not at all unexpected. If anything, investors and some people in the auto industry had been begging Ford to make this step. General Motors Corp. earlier this year did something quite similar. And it's really the only way Ford can get its workers out of the existing UAW contract in a way that's amenable to the union. They have a contract and if they wanted to fire these workers any other way, they would have to continue paying them.","The UAW traditionally has been one of the biggest, most powerful labor unions in America. Is the union, because of Ford's woes, being forced to take whatever the company offers?"
"Well, I don't change my views regardless of who it is I'm speaking to or working with. I have never made one call or made one office visit on behalf of a client, and I don't intend to because that's not my role. So I don't think there's any conflict at all.",How confident are you that a health care bill will land on the president's desk for signature before the end of this year?
"Most of the tanks are in fact gone now. Most of the tanks that were around the Government House, most of them are gone now. And the presence here today is a lot less than it was two weeks ago in the days immediately following the coup. I think - I think the military feels pretty confident right now. I think they feel like they're in charge, that the bad news that they thought might follow this, that some Thaksin supporters might rise up and say, hey, we're not on board with this thing, that hasn't happened yet. So I think the military is feeling pretty good in fact that a lot of the military has been brought back to barracks, sent back to barracks, I think that's an indication that they're feeling pretty confident.","And what happens next for the civilian side of this government, if there is one?"
So we tested that.,And you found it in how many different kinds of bugs?
"So in Louisiana, they had a practice on the books that meant that felony convictions could happen with a split jury, so 10-2 or 11-1. And voters said, no, we're going to be like the rest of the country, with the exception of Oregon, and we're going to have unanimous juries for felony convictions.","And this was a practice considered by many as kind of a carryover from Jim Crow era, right?"
"One person, actually the aide to Ted Kennedy. Now, the reason I got into Ted Kennedy's office is that he has a book coming out on the adventures of his dog, named Splash. Yes.",Ted Kennedy has a dog named Splash?
